#CurrentValue,#time
5.189993,1593912
5.185158,1595623
5.180357,1597086
5.175475,1598521
5.170703,1599984
5.165736,1601329
5.160803,1602662
5.155941,1603900
5.151036,1605238
5.146051,1607022
5.141099,1609265
5.136257,1611461
5.131295,1613182
5.126443,1614108
5.121587,1615019
5.116688,1616341
5.111861,1617209
5.107068,1617993
5.102232,1618607
5.097429,1619188
5.092584,1619794
5.087811,1620353
5.083149,1620867
5.078329,1621478
5.073620,1622690
5.068868,1623831
5.064111,1625357
5.059389,1627286
5.054623,1628861
5.049892,1630459
5.045157,1632067
5.040300,1633903
5.035478,1636059
5.030651,1638124
5.025780,1639462
5.020944,1640154
5.016103,1640840
5.011258,1641649
5.006212,1642499
5.001396,1643346
4.996497,1644223
4.991632,1644992
4.986724,1645686
4.981849,1646481
4.976892,1647282
4.971969,1648075
4.967120,1649005
4.962187,1649796
4.957250,1650431
4.952268,1651283
4.947280,1652048
4.942328,1652802
4.937291,1653748
4.932328,1654865
4.927242,1656560
4.922229,1658854
4.917132,1661099
4.912069,1663582
4.907041,1665929
4.901929,1667926
4.896890,1669369
4.891727,1670873
4.886638,1672432
4.881543,1673119
4.876364,1673842
4.871299,1674664
4.866149,1675578
4.860993,1676589
4.856033,1677480
4.850988,1678099
4.845937,1678778
4.841002,1679454
4.836022,1680184
4.830997,1680921
4.826006,1681696
4.821133,1682421
4.816091,1683086
4.811208,1683772
4.806279,1684489
4.801303,1685159
4.796323,1686035
4.791338,1686713
4.786224,1687485
4.781146,1688246
4.776104,1689071
4.771015,1689789
4.765798,1690544
4.760492,1691385
4.755346,1692318
4.749987,1693108
4.744664,1693808
4.739335,1694942
4.733876,1696971
4.728328,1698753
4.722897,1701357
4.717378,1703163
4.711934,1704600
4.706319,1705788
4.700863,1706601
4.695192,1707660
4.689640,1708918
4.683956,1709723
4.678349,1710526
4.672818,1711709
4.667198,1713183
4.661738,1714325
4.656230,1715588
4.650716,1717240
4.645153,1718786
4.639879,1720324
